Data Import Template,,,,,,,,,,,,,,,,,,,,,,,,
Table:,Lead,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"""""""""""""""" (ID) column blank.""""""""""""""",,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"""""""""""""""" becomes mandatory"""""""," if present.""""""""",,,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Column Labels,ID,Contact Name,Status,Naming Series,Company Name,Email Id,Source,From Customer,Campaign Name,Phone,Mobile No.,Fax,Website,Territory,Lead Type,Lead Owner,Market Segment,Industry,Request Type,Next Contact By,Next Contact Date,Company,Unsubscribed,Blog Subscriber
Column Name:,name,lead_name,status,naming_series,company_name,email_id,source,customer,campaign_name,phone,mobile_no,fax,website,territory,type,lead_owner,market_segment,industry,request_type,contact_by,contact_date,company,unsubscribed,blog_subscriber
Mandatory:,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Type:,Data (text),Data,Select,Select,Data,Data,Select,Link,Link,Data,Data,Data,Data,Link,Select,Link,Select,Link,Select,Link,Date,Link,Check,Check
Info:,,,"Lead, Open, Replied, Opportunity, Interested, Converted, Do Not Contact","One of: LEAD, LEAD/10-11/, LEAD/MUMBAI/",,,"One of: Advertisement, Blog Post, Campaign, Call, Customer, Exhibition, Supplier, Website, Email",Valid Customer,Valid Campaign,,,,,Valid Territory,"One of: Client, Channel Partner, Consultant",Valid User,"One of: Lower Income, Middle Income, Upper Income",Valid Industry Type,"One of: Product Enquiry, Request for Information, Suggestions, Other",Valid User,,Valid Company,0 or 1,0 or 1
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,
,,Mart Lakeman,Lead,,Zany Brainy,MartLakeman@example.com,,,,,,,,,,,,,,,,,,
,,Saga Lundqvist,Lead,,Patterson-Fletcher,SagaLundqvist@example.com,,,,,,,,,,,,,,,,,,
,,Adna Sjöberg,Lead,,Griff's Hamburgers,AdnaSjoberg@example.com,,,,,,,,,,,,,,,,,,
,,Ida Svendsen,Lead,,Rhodes Furniture,IdaDSvendsen@example.com,,,,,,,,,,,,,,,,,,
,,Emppu Hämeenniemi,Lead,,Burger Chef,EmppuHameenniemi@example.com,,,,,,,,,,,,,,,,,,
,,Eugenio Pisano,Lead,,Stratabiz,EugenioPisano@example.com,,,,,,,,,,,,,,,,,,
,,Semhar Hagos,Lead,,Home Quarters Warehouse,SemharHagos@example.com,,,,,,,,,,,,,,,,,,
,,Branimira Ivanković,Lead,,Enviro Architectural Designs,BranimiraIvankovic@example.com,,,,,,,,,,,,,,,,,,
,,Shelly Fields,Lead,,Ideal Garden Management,ShellyLFields@example.com,,,,,,,,,,,,,,,,,,
,,Leo Mikulić,Lead,,Listen Up,LeoMikulic@example.com,,,,,,,,,,,,,,,,,,
,,Denisa Jarošová,Lead,,I. Magnin,DenisaJarosova@example.com,,,,,,,,,,,,,,,,,,
,,Janek Rutkowski,Lead,,First Rate Choice,JanekRutkowski@example.com,,,,,,,,,,,,,,,,,,
,,美月 宇藤,Lead,,Multi Tech Development,mm@example.com,,,,,,,,,,,,,,,,,,
,,Даниил Афанасьев,Lead,,National Auto Parts,dd@example.com,,,,,,,,,,,,,,,,,,
,,Zorislav Petković,Lead,,Integra Investment Plan,ZorislavPetkovic@example.com,,,,,,,,,,,,,,,,,,
,,Nanao Niwa,Lead,,The Lawn Guru,NanaoNiwa@example.com,,,,,,,,,,,,,,,,,,
,,Hreiðar Jörundsson,Lead,,Buena Vista Realty Service,HreiarJorundsson@example.com,,,,,,,,,,,,,,,,,,
,,Lai Chu,Lead,,Bountiful Harvest Health Food Store,ChuThiBichLai@example.com,,,,,,,,,,,,,,,,,,
,,Victor Aksakov,Lead,,P. Samuels Men's Clothiers,VictorAksakov@example.com,,,,,,,,,,,,,,,,,,
,,Saidalim Bisliev,Lead,,Vinyl Fever,SaidalimBisliev@example.com,,,,,,,,,,,,,,,,,,
,,Totte Jakobsson,Lead,,Garden Master,TotteJakobsson@example.com,,,,,,,,,,,,,,,,,,
,,Naná Armas,Lead,,Big Apple,NanaArmasRobles@example.com,,,,,,,,,,,,,,,,,,
,,Walerian Duda,Lead,,Monk House Sales,WalerianDuda@example.com,,,,,,,,,,,,,,,,,,
,,Moarimikashi ,Lead,,ManCharm,Moarimikashi@example.com,,,,,,,,,,,,,,,,,,
,,Dobromił Dąbrowski ,Lead,,Custom Lawn Care,DobromilDabrowski@example.com,,,,,,,,,,,,,,,,,,
,,Teigan Sinclair,Lead,,The Serendipity Dip,TeiganSinclair@example.com,,,,,,,,,,,,,,,,,,
,,Fahad Guirguis,Lead,,Cavages,FahadSaidGuirguis@example.com,,,,,,,,,,,,,,,,,,
,,Morten Olsen,Lead,,Gallenkamp,MortenJOlsen@example.com,,,,,,,,,,,,,,,,,,
,,Christian Baecker,Lead,,Webcom Business Services,ChristianBaecker@example.com,,,,,,,,,,,,,,,,,,
,,Sebastianus Dohmen,Lead,,Accord Investments,SebastianusDohmen@example.com,,,,,,,,,,,,,,,,,,
,,Eero Koskinen,Lead,,American Appliance,EeroKoskinen@example.com,,,,,,,,,,,,,,,,,,
,,富奎 盧,Lead,,Bettendorf's,LuFuKui@example.com,,,,,,,,,,,,,,,,,,
,,Milica Jelić,Lead,,House Of Denmark,MilicaJelic@example.com,,,,,,,,,,,,,,,,,,
,,Barbora Holubová,Lead,,10000 Auto Parts,BarboraHolubova@example.com,,,,,,,,,,,,,,,,,,
,,Marta Kos,Lead,,Mages,MartaKos@example.com,,,,,,,,,,,,,,,,,,
,,Simret Zula,Lead,,CSK Auto,SimretZula@example.com,,,,,,,,,,,,,,,,,,
,,Kamil Chlubna,Lead,,Eagle Hardware & Garden,KamilChlubna@example.com,,,,,,,,,,,,,,,,,,
,,Aceline Bolduc,Lead,,Rustler Steak House,AcelineBolduc@example.com,,,,,,,,,,,,,,,,,,
,,Lucie Stupková,Lead,,ABCO Foods,LucieStupkova@example.com,,,,,,,,,,,,,,,,,,
,,Roland Solvik,Lead,,Trak Auto,RolandSolvik@example.com,,,,,,,,,,,,,,,,,,
,,Mekirinzukushitakufu ,Lead,,Choices,Mekirinzukushitakufu@example.com,,,,,,,,,,,,,,,,,,
,,Mukharbek Sultanovich,Lead,,Megatronic,MukharbekSultanovich@example.com,,,,,,,,,,,,,,,,,,
,,Osman Amanuel,Lead,,Handy Dan,OsmanAmanuel@example.com,,,,,,,,,,,,,,,,,,
,,幸子 阪部,Lead,,Channel Home Centers,dd2@example.com,,,,,,,,,,,,,,,,,,
,,Masakazu Kamitani,Lead,,Honest Air Group,MasakazuKamitani@example.com,,,,,,,,,,,,,,,,,,
,,Omran Sabbagh,Lead,,Pleasures and Pasttimes,OmranNuhaidSabbagh@example.com,,,,,,,,,,,,,,,,,,
,,Rikako Matsumura,Lead,,Lazysize,RikakoMatsumura@example.com,,,,,,,,,,,,,,,,,,
